Embedding,Algorithm,Accuracy,Precision,F1_score,Recall,Mean_score,Rank
ConceptNet_Numberbatch,KNeighbors,0.9111984282907662,0.7662659158665966,0.7722553536309814,0.8075936655102933,0.8143283408246594,50.0
PDC,KNeighbors,0.9029469548133595,0.7691544761443865,0.7759800175914348,0.7988629040250114,0.811736088143548,51.0
LexVec_CC_300d,ExtraTrees,0.906483300589391,0.7495038606820584,0.7705944737043876,0.8170414307460927,0.8109057664304824,52.0
FastText_SkipGram,RandomForest,0.9056974459724951,0.7466713060725313,0.7696284984233341,0.8184423484299527,0.8101098997245783,53.0
LexVec_WN_300d,KNeighbors,0.9108055009823183,0.764188975151579,0.7716704341847108,0.7919303448559744,0.8096488137936456,54.0
FastText_SkipGram,KNeighbors,0.9056974459724951,0.7605331969856979,0.7691206638501801,0.7986056107687678,0.8084892293942852,55.0
FastText_CBOW,RandomForest,0.8974459724950884,0.7287078998175734,0.7585175636700261,0.8315955571913615,0.8040667482935124,56.0
FastText_CBOW,KNeighbors,0.8911591355599214,0.7419381071999405,0.7537694990550416,0.7793630315240142,0.7915574433347293,57.0
FastText_CBOW,ExtraTrees,0.8911591355599214,0.7065437562142709,0.7403214386522403,0.8186587007614727,0.7891707577969764,58.0
ConceptNet_Numberbatch,GaussianNB,0.862082514734774,0.7639124057810353,0.72613350667037,0.7202826064095942,0.7681027583989434,59.0
Glove_6B_300d,GaussianNB,0.862082514734774,0.7581888220652396,0.7064485210270512,0.7059629593506386,0.7581707042944259,60.0
ConceptNet_Numberbatch,LogisticRegression,0.8825147347740668,0.6464404257047678,0.6606264838407376,0.8268240986385992,0.7541014357395429,61.0
FastText_CBOW,LogisticRegression,0.8711198428290766,0.6446556283390703,0.6833325265608904,0.810203611467895,0.7523279022992331,62.0
LexVec_CC_300d,GaussianNB,0.8491159135559921,0.7445471848682295,0.693554853514546,0.6878411973318932,0.7437647873176652,63.0
Google_News,GaussianNB,0.8420432220039292,0.73194677616778,0.6929315864331322,0.69464892374208,0.7403926270867305,64.0
LexVec_WN_300d,GaussianNB,0.8538310412573674,0.7338777933366845,0.6783234236617587,0.6764671116015781,0.7356248424643472,65.0
PDC,GaussianNB,0.8400785854616896,0.7186247779966679,0.6845404747236861,0.6849699522865915,0.7320534476171587,66.0
Glove_840B_300d,GaussianNB,0.8420432220039292,0.7253873029636093,0.6714381726023322,0.6673636595671659,0.7265580892842591,67.0
HDC,GaussianNB,0.831434184675835,0.709271208645791,0.6638861391288242,0.6694096754652963,0.7185003019789367,68.0
ConceptNet_Numberbatch,BernoulliNB,0.8671905697445973,0.683787612503229,0.6615266005647596,0.6536416745794638,0.7165366143480124,69.0
Glove_6B_300d,BernoulliNB,0.8660117878192535,0.6827008622942816,0.6489786043431572,0.6519984145156821,0.7124224172430936,70.0
HDC,BernoulliNB,0.8495088408644401,0.6777644256963204,0.6424347787510107,0.6359532464212345,0.7014153229332514,71.0
FastText_SkipGram,GaussianNB,0.8290766208251473,0.6962355164666854,0.6389921407827556,0.6409570971205484,0.7013153437987841,72.0
Google_News,BernoulliNB,0.8495088408644401,0.6689789218112391,0.6336330710837121,0.6351322844600322,0.6968132795548558,73.0
PDC,BernoulliNB,0.8495088408644401,0.6644423968082472,0.6343112630512822,0.6298741627621818,0.6945341658715378,74.0
LexVec_WN_300d,BernoulliNB,0.8565815324165029,0.6581140627361757,0.6278573518013033,0.6311906713977985,0.6934359045879451,75.0
Glove_840B_300d,BernoulliNB,0.850294695481336,0.654921700011818,0.6218831919234531,0.6327759460894602,0.6899688833765169,76.0
LexVec_CC_300d,BernoulliNB,0.8392927308447937,0.6559585653230865,0.6164866574533316,0.619595506295439,0.6828333649791627,77.0
FastText_CBOW,BernoulliNB,0.8302554027504911,0.6326281282037337,0.6143336233892496,0.6102708211420489,0.6718719938713807,78.0
LexVec_WN_300d,DecisionTree,0.8110019646365423,0.6180080499384234,0.6204479587497589,0.6243638922372475,0.6684554663904929,79.0
FastText_SkipGram,BernoulliNB,0.8286836935166995,0.6317581302961462,0.5901651988819347,0.5990909625912184,0.6624244963214998,80.0
Glove_6B_300d,DecisionTree,0.8082514734774067,0.6098137246053953,0.6069014846713174,0.6071754450812178,0.6580355319588344,81.0
Glove_840B_300d,DecisionTree,0.7882121807465619,0.573243904672113,0.5724532915440474,0.5767524082995806,0.6276654463155757,82.0
ConceptNet_Numberbatch,DecisionTree,0.7827111984282907,0.5694788605574155,0.567542093438241,0.5700324937965399,0.6224411615551219,83.0
Google_News,DecisionTree,0.7992141453831041,0.549566161900745,0.544420976372127,0.5445107323879121,0.6094280040109721,84.0
FastText_CBOW,GaussianNB,0.7607072691552063,0.5533137005051297,0.5256249843604225,0.5711856995183222,0.6027079133847701,85.0
HDC,DecisionTree,0.7673870333988212,0.5501106129953384,0.5462918911973546,0.546347801863729,0.6025343348638108,86.0
LexVec_CC_300d,DecisionTree,0.787819253438114,0.5337530812977135,0.5326829967553709,0.5344254753427997,0.5971702017084994,87.0
FastText_CBOW,DecisionTree,0.7709233791748527,0.5090026380256877,0.5057560562621719,0.5079025193539183,0.5733961482041576,88.0
FastText_SkipGram,DecisionTree,0.7724950884086444,0.5091301335672136,0.5058699526236642,0.5058863957479262,0.5733453925868621,89.0
PDC,DecisionTree,0.7591355599214146,0.4839548410553912,0.4813335970369219,0.4817334920789641,0.551539372523173,90.0
